Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://localhost:8080/calculator/taxRelief,10,6,5,12,2.16,0.000%,2.19154,0.42,0.54,197.0
http://localhost:8080/calculator/taxReliefSummary,10,6,4,12,2.29,0.000%,2.19491,0.44,0.56,203.0
Refresh Tax Relief Table,10,13,9,24,4.15,0.000%,2.18771,0.85,1.10,400.0
http://localhost:8080/swagger-ui.html,10,84,49,139,28.12,0.000%,2.15889,4024.32,7.15,1908802.0
http://localhost:8080/swagger-resources/configuration/ui,10,5,2,17,4.75,0.000%,2.20946,1.27,0.51,590.0
http://localhost:8080/swagger-resources/configuration/security,10,2,2,5,0.98,0.000%,2.20994,0.30,0.53,140.0
http://localhost:8080/swagger-resources,10,3,2,6,1.25,0.000%,2.21092,0.49,0.48,229.0
http://localhost:8080/v2/api-docs,10,6,4,12,2.19,0.000%,2.21092,54.96,0.50,25455.0
Visit Swagger,10,102,61,170,33.84,0.000%,2.15193,4066.84,9.09,1935216.0
TOTAL,90,25,2,170,39.45,0.000%,19.25134,8086.63,20.22,430136.9
